,investor,cryptocurrency,announced_on
0,0,KRT,2019-02
1,0,LUNA,2019-02
2,0,SDT,2019-02
3,1,HNT,2021-08
4,2,MOB,2021-08
5,3,AUDIO,2018-08
6,3,UDT,2018-06
7,4,ATOM,2021-05
8,4,CKB,2018-07
9,4,INDEX,2021-07
10,4,MKR,2017-12
11,4,MVI,2021-07
12,4,NXM,2021-02
13,5,AR,2018-06
14,5,CKB,2018-07
15,5,DPI,2021-05
16,5,GTC,2021-04
17,5,INDEX,2021-07
18,5,KRT,2018-08
19,5,LQTY,2020-09
20,5,LUNA,2018-08
21,5,MVI,2021-05
22,5,NFTI,2021-05
23,5,SDT,2018-08
24,5,SI,2021-03
25,5,ZOMB,2020-11
26,6,KAVA,2019-02
27,7,CAS,2016-07
28,8,PTF,2020-09
29,8,SPS,2021-07
30,8,STEP,2021-04
31,8,TLM,2021-03
32,8,UNN,2020-11
33,9,GMEE,2018-12
34,10,BVOL,2021-07
35,10,FTT,2021-07
36,10,HEDGE,2021-07
37,11,RLY,2020-02
38,12,CTXC,2021-05
39,13,CRE,2018-06
40,13,NOIA,2019-07
41,13,TT,2019-05
42,14,AXS,2019-08
43,14,CKB,2018-07
44,14,COCOS,2018-09
45,14,GMEE,2016-04
46,14,HYVE,2019-07
47,14,LBA,2018-04
48,14,OST,2016-11
49,14,RAISE,2021-02
50,14,SLP,2019-08
51,14,SOL,2018-06
52,15,AXS,2019-11
53,15,SLP,2019-11
54,16,KEEP,2016-04
55,16,UGAS,2018-05
56,17,BUX,2015-09
57,18,LPT,2021-07
58,19,$KING,2020-10
59,20,BETH,2017-03
60,20,BIX,2017-11
61,20,BLZ,2018-01
62,20,CEN,2018-06
63,20,DOT,2019-08
64,20,ELF,2017-12
65,20,EMB,2018-04
66,20,ETH,2017-03
67,20,FTM,2018-06
68,20,GTO,2017-12
69,20,GZIL,2017-12
70,20,ICX,2017-09
71,20,IOTX,2018-02
72,20,KNC,2017-09
73,20,KNCL,2017-09
74,20,LBA,2018-03
75,20,MOB,2018-04
76,20,NAS,2017-12
77,20,ONG,2018-02
78,20,ONT,2018-02
79,20,QASH,2017-11
80,20,QKC,2018-05
81,20,RIF,2018-05
82,20,UGAS,2018-07
83,20,WAN,2018-09
84,20,WFTM,2018-06
85,20,ZIL,2017-12
86,20,ZRX,2017-08
87,21,BERRY,2017-10
88,22,DMD,2017-03
89,22,ICX,2021-08
90,23,HPB,2018-06
91,24,STMX,2017-01
92,25,CELO,2019-04
93,25,ICP,2018-08
94,26,LQTY,2020-09
95,26,SC,2020-09
96,26,UNI,2020-08
97,26,YGG,2021-06
98,27,SHEESHA,2021-04
99,28,VIB,2016-04
100,29,BUX,2021-04
101,30,ETHA,2021-03
102,31,VSP,2016-12
103,32,$COIN,2014-05
104,33,AAPX,2018-07
105,33,UTU,2018-07
106,34,SPS,2021-07
107,35,XRP,2016-09
108,36,TOTM,2021-03
109,37,XRP,2015-05
110,38,MPH,2020-08
111,39,CDT,2021-01
112,40,BOX,2018-06
113,40,CRE,2018-05
114,40,DG,2021-06
115,40,DON,2021-04
116,40,DOP,2021-05
117,40,DOT,2019-06
118,40,DWZ,2021-02
119,40,EGLD,2019-07
120,40,ETHA,2021-03
121,40,FORM,2021-05
122,40,GRT,2020-06
123,40,HOPR,2020-07
124,40,INJ,2020-07
125,40,IOTX,2018-02
126,40,ISP,2021-05
127,40,LEV,2021-04
128,40,MAKI,2021-04
129,40,MARSH,2021-03
130,40,MOB,2018-04
131,40,MTRG,2019-05
132,40,NAOS,2021-04
133,40,ONE,2019-04
134,40,RAGE,2021-03
135,40,REEF,2020-09
136,40,ROYA,2021-01
137,40,TBC,2021-04
138,40,TIDAL,2020-12
139,40,TSX,2021-04
140,40,TVK,2020-11
141,40,XPRT,2020-10
142,40,ZIG,2021-04
143,40,eMTRG,2019-05
144,40,erowan,2020-08
145,41,RLY,2012-06
146,42,AVAX,2019-02
147,42,CBAT,2018-05
148,42,CCOMP,2018-05
149,42,CDAI,2018-05
150,42,CLOUT,2021-03
151,42,COMP,2018-05
152,42,CREP,2018-05
153,42,CUNI,2018-05
154,42,CWBTC,2018-05
155,42,CZRX,2018-05
156,42,XRP,2016-09
157,43,AUCTION,2018-08
158,43,BTT,2008-09
159,43,GMEE,2011-11
160,43,RAISE,2015-01
161,43,RLY,2021-05
162,43,VGX,2018-10
163,44,AUCTION,2019-01
164,45,MAKI,2021-04
165,46,XRP,2016-09
166,47,CKB,2019-10
167,47,FOX,2017-03
168,47,HNS,2020-03
169,48,API3,2020-11
170,48,BAL,2020-03
171,48,MINA,2019-04
172,48,NEAR,2019-07
173,48,VSP,2016-12
174,49,LEV,2021-04
175,50,XRP,2020-04
176,51,CTXC,2021-05
177,52,CXO,2016-07
178,53,MOB,2021-08
179,54,BEAM,2021-05
180,55,ASAP,2021-04
181,55,ATA,2021-03
182,55,BAL,2021-02
183,55,CONV,2021-02
184,55,DODO,2020-10
185,55,HNT,2021-08
186,55,IF,2021-06
187,55,INSUR,2021-02
188,55,LDO,2021-05
189,55,LINA,2020-09
190,55,LQTY,2021-03
191,55,MAPS,2021-01
192,55,MASK,2020-11
193,55,MATH,2020-11
194,55,MOB,2021-08
195,55,MPL,2020-12
196,55,OIN,2020-08
197,55,OPIUM,2020-10
198,55,OXY,2021-02
199,55,PERP,2020-08
200,55,RAMP,2020-08
201,55,RAZOR,2020-11
202,55,REEF,2021-03
203,55,SLRS,2021-07
204,55,SOL,2021-06
205,55,STEP,2021-04
206,55,STETH,2021-05
207,55,TRU,2021-08
208,55,UNN,2020-11
209,55,XPRT,2020-10
210,55,erowan,2020-08
211,56,BEST,2021-08
212,56,BVOL,2021-07
213,56,FTT,2021-07
214,56,HEDGE,2021-07
215,57,DXT,2015-09
216,57,UTK,2020-03
217,58,BOS,2017-09
218,58,DMT,2017-12
219,58,DRGN,2017-10
220,58,SUB,2017-08
221,58,WISH,2017-10
222,59,CBAT,2018-05
223,59,CCOMP,2018-05
224,59,CDAI,2018-05
225,59,COMP,2018-05
226,59,CREP,2018-05
227,59,CUNI,2018-05
228,59,CWBTC,2018-05
229,59,CZRX,2018-05
230,60,SHIFT,2014-05
231,61,LQTY,2020-09
232,61,MASK,2020-11
233,61,NMR,2016-04
234,61,PERP,2020-08
235,62,BAT,2017-05
236,62,BETH,2017-05
237,62,BNT,2017-06
238,62,DMT,2017-12
239,62,ETH,2017-05
240,62,GRID,2017-10
241,62,PAY,2017-06
242,62,POWR,2017-09
243,62,REP,2015-10
244,62,SAN,2017-07
245,62,VBNT,2017-06
246,63,GMEE,2019-05
247,64,AXS,2021-05
248,64,CLOUT,2021-03
249,64,OGN,2018-04
250,64,RLY,2020-09
251,64,SLP,2021-05
252,65,YLDY,2020-10
253,66,BAT,2017-05
254,66,DASH,2017-06
255,66,XRP,2013-04
256,67,SHIFT,2018-05
257,68,SPORTS,2021-03
258,69,DMT,2020-06
259,70,RLY,2019-12
260,71,$KING,2020-10
261,71,ACXT,2020-09
262,71,AGIX,2020-03
263,71,CEL,2020-01
264,71,CRE,2020-03
265,71,PRE,2020-03
266,71,QNT,2020-07
267,71,SHR,2020-06
268,71,SPS,2021-07
269,71,XDB,2020-05
270,72,BIKI,2019-11
271,72,PLA,2018-11
272,73,FIN,2020-10
273,73,KEX,2020-08
274,73,LBA,2018-04
275,73,LTX,2020-09
276,73,PLA,2018-11
277,73,PLU,2021-05
278,73,ROYA,2021-01
279,73,STMX,2017-10
280,73,STPT,2019-06
281,73,STRAX,2021-02
282,73,TOTM,2021-03
283,73,YLD,2020-12
284,74,UNN,2020-11
285,75,MNTP,2018-09
286,76,BEAM,2021-05
287,77,BVOL,2021-07
288,77,FTT,2021-07
289,77,HEDGE,2021-07
290,78,BEAM,2021-05
291,78,MARSH,2021-03
292,78,OOE,2021-03
293,79,PAX,2020-12
294,79,PAXG,2020-12
295,80,ALGO,2018-07
296,80,CBAT,2019-07
297,80,CCOMP,2019-07
298,80,CDAI,2019-07
299,80,COMP,2019-07
300,80,CREP,2019-07
301,80,CUNI,2019-07
302,80,CWBTC,2019-07
303,80,CZRX,2019-07
304,80,FIL,2017-09
305,80,RAISE,2020-01
306,80,SHIFT,2017-07
307,80,STX,2017-12
308,80,TOP,2018-10
309,80,VSP,2018-05
310,81,SPS,2019-04
311,82,VSP,2016-12
312,83,CXO,2016-01
313,84,MATH,2020-12
314,85,VSP,2018-05
315,86,MARSH,2021-03
316,87,ICP,2014-01
317,87,KNC,2017-09
318,87,KNCL,2017-09
319,87,NU,2017-12
320,88,NEAR,2019-07
321,89,SENSE,2014-12
322,90,HOT,2017-03
323,91,INST,2021-06
324,92,NU,2017-12
325,93,ASP,2018-03
326,93,GASP,2018-03
327,94,DATA,2017-10
328,94,DOT,2017-10
329,94,GNX,2017-11
330,94,KNC,2017-09
331,94,KNCL,2017-09
332,94,LINK,2017-09
333,94,OMG,2017-04
334,94,POWR,2017-09
335,94,UTK,2017-11
336,94,WAXP,2017-11
337,94,ZRX,2017-06
338,95,PAY,2017-03
339,96,AR,2019-11
340,96,AVAX,2019-02
341,96,CBAT,2018-05
342,96,CCOMP,2018-05
343,96,CDAI,2018-05
344,96,CELO,2018-06
345,96,CLOUT,2021-09
346,96,COMP,2018-05
347,96,CREP,2018-05
348,96,CUNI,2018-05
349,96,CWBTC,2018-05
350,96,CZRX,2018-05
351,96,FIL,2017-08
352,96,HNT,2021-08
353,96,ICP,2018-02
354,96,KEEP,2018-04
355,96,MKR,2017-12
356,96,NEAR,2020-05
357,96,OXT,2017-10
358,96,SHIFT,2018-02
359,96,SOL,2021-06
360,96,TRU,2021-08
361,96,UNI,2020-08
362,96,XCH,2018-03
363,96,XRP,2013-04
364,96,YGG,2021-08
365,97,PUSH,2020-12
366,97,SPIKE,2016-09
367,98,IFT,2014-11
368,99,PERP,2020-08
369,100,BOND,2020-09
370,101,DPI,2018-12
371,101,MVI,2018-12
372,101,NFTI,2018-12
373,102,LHT,2017-08
374,103,CREA,2019-06
375,104,IF,2021-06
376,104,LQTY,2021-03
377,105,SHIFT,2014-05
378,106,INXT,2021-01
379,107,BXX,2018-09
380,108,MARSH,2021-03
381,109,LPT,2021-07
382,110,AXS,2019-11
383,110,BOSON,2021-03
384,110,MANA,2018-10
385,110,MASK,2021-02
386,110,SLP,2019-11
387,110,SPS,2021-07
388,110,TLM,2021-03
389,110,UTU,2019-12
390,110,WILD,2021-05
391,110,YGG,2021-03
392,111,DVF,2021-05
393,112,HNS,2015-03
394,113,RLY,2018-09
395,114,QTUM,2017-01
396,114,RIF,2017-05
397,114,STMX,2017-08
398,115,DVF,2021-05
399,115,PUSH,2020-12
400,116,IFT,2016-01
401,117,STMX,2021-04
402,118,IMPACT,2021-01
403,118,XST,2020-11
404,119,AMM,2015-08
405,120,DOT,2017-10
406,121,GMEE,2021-05
407,122,BETH,2015-12
408,122,BTC,2013-04
409,122,ETH,2015-12
410,122,LTC,2014-03
411,122,MET,2018-06
412,122,RDN,2017-10
413,122,XMR,2015-09
414,123,ASP,2019-08
415,123,GASP,2019-08
416,124,STMX,2017-08
417,125,CELO,2018-06
418,126,TSX,2019-08
419,127,RLY,2012-06
420,128,ENJ,2021-06
421,128,HOPR,2020-07
422,128,INSUR,2021-02
423,128,XEND,2021-02
424,128,wSIENNA,2021-05
425,129,SHX,2018-07
426,130,AERGO,2018-11
427,130,AI,2021-07
428,130,AMPL,2018-12
429,130,AR,2018-06
430,130,ARPA,2018-08
431,130,CHR,2019-01
432,130,CLOUT,2021-09
433,130,CRE,2018-05
434,130,ENJ,2021-06
435,130,FORTH,2018-12
436,130,FTM,2018-06
437,130,KAVA,2019-02
438,130,KRT,2018-08
439,130,LEO,2019-05
440,130,LUNA,2018-08
441,130,MTV,2018-09
442,130,NEAR,2019-07
443,130,NEXO,2018-03
444,130,NKN,2018-03
445,130,NU,2018-04
446,130,POND,2019-07
447,130,RAMP,2020-08
448,130,SDT,2018-08
449,130,SKL,2019-10
450,130,TT,2019-02
451,130,UGAS,2018-07
452,130,UPT,2018-08
453,130,VEGA,2021-03
454,130,WFTM,2018-06
455,130,XPRT,2020-10
456,131,VGX,2018-06
457,132,SHIFT,2020-10
458,133,CTSI,2018-05
459,133,UTU,2019-12
460,134,XYO,2018-03
461,135,RLY,2018-01
462,136,ARCH,2020-10
463,136,FXS,2020-07
464,136,KEX,2020-08
465,136,YGG,2021-03
466,137,AUDIO,2018-08
467,138,CVC,2016-01
468,139,KDA,2017-04
469,140,ICP,2018-08
470,140,SKL,2018-10
471,141,INDEX,2021-07
472,141,MVI,2021-07
473,142,GMEE,2018-12
474,143,YGG,2021-08
475,144,SNT,2014-03
476,145,CFG,2019-10
477,145,NEU,2017-01
478,145,WCFG,2019-10
479,146,HOT,2021-08
480,147,QQQ,2020-12
481,148,PUSH,2020-12
482,149,EGLD,2019-07
483,150,RLY,2019-12
484,151,XRP,2012-10
485,152,CWAP,2021-05
486,152,DOP,2021-05
487,152,INJ,2020-07
488,153,MIX,2019-01
489,154,AUCTION,2019-06
490,155,SAND,2020-03
491,156,QASH,2017-11
492,157,FLEX,2019-08
493,157,LGO,2020-04
494,158,HNS,2016-12
495,159,ONE,2019-04
496,160,YGG,2021-06
497,161,DOV,2018-11
498,162,SHIFT,2017-07
499,163,BOSON,2021-03
500,163,IF,2021-06
501,163,PUSH,2020-12
502,164,BIA,2019-04
503,164,KEX,2020-12
504,164,RAZOR,2020-11
505,165,TBC,2021-04
506,166,CEEK,2017-04
507,167,VSP,2018-05
508,168,VSP,2018-05
509,169,CBAT,2018-05
510,169,CCOMP,2018-05
511,169,CDAI,2018-05
512,169,COMP,2018-05
513,169,CREP,2018-05
514,169,CUNI,2018-05
515,169,CWBTC,2018-05
516,169,CZRX,2018-05
517,169,SC,2020-09
518,170,AVAX,2019-02
519,170,GTC,2021-04
520,170,INST,2019-10
521,170,MASK,2020-11
522,170,PUSH,2020-12
523,170,RAD,2021-02
524,171,OCEAN,2018-03
525,171,OGN,2018-04
526,172,LBA,2018-05
527,173,NU,2016-08
528,174,TEL,2017-09
529,175,BERRY,2020-05
530,176,ASP,2019-08
531,176,GASP,2019-08
532,177,BERRY,2017-10
533,178,DMD,2017-03
534,179,PAX,2013-11
535,179,PAXG,2013-11
536,179,STX,2014-11
537,179,ZEC,2016-01
538,180,PUSH,2020-12
539,181,LPT,2019-06
540,182,ALGO,2018-07
541,182,AR,2018-06
542,183,MOB,2021-08
543,184,BEAM,2021-05
544,185,XCN,2018-09
545,186,KEEP,2015-04
546,187,RAISE,2013-11
547,187,SC,2020-09
548,188,UDT,2018-06
549,189,IF,2021-06
550,190,FTM,2018-06
551,190,WFTM,2018-06
552,191,BZNT,2018-06
553,192,CTSI,2018-05
554,193,STMX,2017-01
555,194,POWR,2017-09
556,195,1INCH,2020-08
557,195,BAND,2019-09
558,195,BIDR,2020-05
559,195,BVOL,2019-12
560,195,COS,2018-09
561,195,DODO,2020-10
562,195,EGLD,2019-07
563,195,FTT,2019-12
564,195,HEDGE,2019-12
565,195,HOPR,2019-04
566,195,INJ,2018-10
567,195,KRT,2018-08
568,195,LUNA,2018-08
569,195,MASK,2021-04
570,195,MATH,2020-12
571,195,MOB,2018-04
572,195,OOE,2021-03
573,195,PERP,2020-08
574,195,POND,2019-07
575,195,SDT,2018-08
576,195,TKO,2020-05
577,195,TRB,2019-03
578,196,SENSE,2017-12
579,197,RAZOR,2020-11
580,198,HUB,2018-06
581,198,NU,2018-04
582,199,MARSH,2021-03
583,199,STAKE,2019-08
584,199,ZIG,2021-04
585,200,DG,2021-06
586,200,DOP,2021-05
587,200,IF,2021-06
588,200,INJ,2020-07
589,200,MPL,2020-12
590,200,PENDLE,2021-05
591,200,USF,2021-03
592,200,erowan,2020-08
593,201,DUSK,2020-09
594,201,FOX,2015-09
595,202,RIF,2017-05
596,202,SHFT,2019-12
597,203,INJ,2020-07
598,203,PENDLE,2021-05
599,204,AVAX,2020-06
600,204,KAN,2016-04
601,204,NU,2018-04
602,204,NULS,2018-07
603,204,QASH,2019-04
604,204,RIF,2016-03
605,205,HPB,2018-06
606,205,STAKE,2019-08
607,205,UGAS,2018-07
608,206,MINA,2020-10
609,206,OCC,2021-06
610,206,RAZOR,2020-11
611,207,ICX,2020-08
612,208,MoFi,2021-04
613,209,DON,2021-04
614,209,KEX,2020-12
615,209,MARSH,2021-03
616,210,BNB,2017-09
617,211,QARK,2021-05
618,212,OST,2016-11
619,213,EWT,2018-07
620,214,CXO,2018-08
621,215,KRT,2021-06
622,215,LUNA,2021-06
623,215,SDT,2021-06
624,216,OPT,2020-07
625,217,MKR,2020-04
626,218,CVC,2016-01
627,219,AERGO,2018-11
628,219,DAV,2018-04
629,219,META,2018-05
630,220,ASAP,2021-04
631,220,BYN,2021-06
632,220,NAOS,2021-04
633,220,TSX,2021-04
634,220,YLDY,2021-04
635,221,NKN,2019-07
636,222,MEM,2021-05
637,223,BETH,2015-12
638,223,ETH,2015-12
639,223,LTC,2014-03
640,223,MET,2018-06
641,223,RDN,2017-10
642,223,XMR,2015-09
643,224,CHEX,2021-02
644,224,PUML,2019-12
645,225,IDLE,2020-11
646,226,BOSON,2021-03
647,227,ENJ,2021-06
648,227,FUN,2017-07
649,227,HBAR,2018-08
650,227,INJ,2021-04
651,227,LBA,2018-04
652,227,MOB,2021-08
653,227,OGN,2018-04
654,227,SHFT,2021-03
655,227,SOL,2019-07
656,227,TRU,2021-08
657,227,YGG,2021-03
658,228,ANKR,2018-06
659,228,BLOC,2018-01
660,228,BOX,2018-06
661,228,CELR,2018-07
662,228,COCOS,2018-09
663,228,DATX,2018-05
664,228,DDD,2018-02
665,228,DX,2018-02
666,228,GTO,2018-01
667,228,IOTX,2018-10
668,228,IOV,2018-03
669,228,LBA,2017-10
670,228,MEET,2017-11
671,228,MTN,2017-09
672,228,NKN,2018-03
673,228,OCEAN,2017-11
674,228,OGN,2017-05
675,228,ONG,2018-04
676,228,ONT,2018-04
677,228,PNT,2018-06
678,228,QKC,2017-10
679,228,REN,2018-01
680,228,RENFIL,2018-01
681,228,RIF,2016-06
682,228,SKM,2018-05
683,228,STPT,2019-06
684,228,TROY,2019-07
685,228,UUU,2018-05
686,228,VET,2018-04
687,229,ABL,2018-06
688,229,ARIA20,2018-11
689,229,BZNT,2018-02
690,229,CTXC,2018-02
691,229,DOCK,2018-02
692,229,FSN,2018-01
693,229,HPB,2018-06
694,229,NOIA,2019-04
695,229,OIN,2020-08
696,229,PXL,2018-10
697,229,RAMP,2020-08
698,229,TM2,2018-05
699,229,WIKEN,2019-05
700,230,1INCH,2020-12
701,230,AAVE,2020-10
702,230,AUCTION,2020-03
703,230,BAL,2021-05
704,230,BNT,2017-06
705,230,CKB,2018-07
706,230,CVC,2016-01
707,230,DIGG,2021-03
708,230,FOX,2017-03
709,230,NXM,2021-02
710,230,OXT,2017-10
711,230,PAX,2015-05
712,230,PAXG,2015-05
713,230,SENSE,2017-12
714,230,STX,2017-12
715,230,VBNT,2017-06
716,230,XRP,2015-05
717,231,BOND,2020-09
718,232,BXX,2018-09
719,232,FIN,2019-01
720,232,RFOX,2019-01
721,232,RPZX,2019-06
722,232,SPS,2019-04
723,232,TBC,2021-05
724,232,VFOX,2019-01
725,233,SENSE,2017-12
726,234,TRIO,2018-02
727,235,AAVE,2020-10
728,235,CLOUT,2021-09
729,235,DVF,2021-05
730,235,ENJ,2019-10
731,235,OGN,2018-04
732,235,TBC,2021-04
733,235,ZRX,2021-02
734,236,AUDIO,2020-07
735,236,CLOUT,2021-09
736,236,NEAR,2020-05
737,236,SKL,2018-10
738,236,SOL,2019-07
739,237,MITH,2018-01
740,238,BYN,2021-06
741,238,DOP,2021-05
742,238,TBC,2021-04
743,239,FET,2018-06
744,239,HBAR,2018-05
745,239,SHFT,2018-09
746,240,ENG,2021-03
747,241,GMEE,2021-07
748,242,CFG,2018-03
749,242,DCR,2018-06
750,242,FIL,2017-08
751,242,WCFG,2018-03
752,243,BOX,2018-06
753,243,PLA,2018-11
754,244,TOTM,2021-03
755,245,SHFT,2020-01
756,246,BXX,2020-09
757,246,CS,2016-02
758,246,MAID,2016-10
759,246,PASS,2020-09
760,246,SENSE,2017-12
761,246,STORJ,2017-02
762,246,YLD,2020-12
763,247,BOX,2018-06
764,247,HUB,2018-06
765,247,LQTY,2021-03
766,247,QTUM,2017-01
767,248,IF,2021-06
768,249,HBAR,2021-02
769,250,CTXC,2021-05
770,251,XIN,2015-09
771,252,HNS,2012-11
772,253,GMEE,2019-05
773,254,UBQ,2014-11
774,255,BVOL,2021-07
775,255,FTT,2021-07
776,255,HEDGE,2021-07
777,255,ICX,2021-08
778,256,PTOY,2016-01
779,257,SPIKE,2016-09
780,258,ANT,2013-01
781,258,DFX,2021-02
782,258,DNT,2017-08
783,258,DOT,2017-10
784,258,FIL,2017-08
785,258,LBA,2017-11
786,258,MANA,2017-08
787,258,POP,2016-11
788,258,SKL,2018-10
789,258,ZRX,2017-01
790,259,ALGO,2020-08
791,259,ARCC,2020-03
792,259,RAZOR,2020-11
793,259,STKR,2020-08
794,259,YLDY,2021-04
795,260,VSP,2018-05
796,261,LPT,2018-02
797,261,OXT,2018-04
798,261,SHIFT,2018-02
799,261,UMA,2020-09
800,262,INJ,2020-07
801,262,PTF,2020-09
802,263,MPAY,2018-06
803,264,ARIA20,2021-03
804,264,PCL,2019-06
805,265,MLN,2017-10
806,266,IND,2019-06
807,267,MOB,2021-08
808,268,CKB,2018-07
809,268,XCH,2021-05
810,269,AMPL,2018-03
811,269,FORTH,2018-03
812,270,STMX,2017-10
813,271,ID,2013-04
814,272,BOSON,2021-03
815,272,FORM,2021-05
816,272,MARSH,2021-03
817,272,TBC,2021-04
818,273,PUML,2018-08
819,274,FOX,2015-09
820,275,HUB,2020-07
821,276,AUCTION,2020-01
822,277,ID,2012-01
823,278,BNB,2017-01
824,278,STX,2018-01
825,279,EBK,2020-02
826,280,CS,2016-02
827,281,TPT,2018-04
828,282,NRVE,2017-04
829,283,CAPP,2015-12
830,284,ICX,2018-10
831,285,DEXTF,2019-11
832,286,KYL,2011-08
833,287,VGX,2021-03
834,288,DF,2020-04
835,289,XRP,2015-05
836,290,NAOS,2021-04
837,291,ASAP,2021-04
838,291,AVAX,2021-09
839,291,CONV,2021-02
840,291,DDX,2020-07
841,291,DFX,2021-02
842,291,DODO,2020-10
843,291,IF,2021-06
844,291,INJ,2021-04
845,291,LINA,2020-09
846,291,MAPS,2021-01
847,291,OOE,2021-03
848,291,OXY,2021-02
849,291,PENDLE,2021-05
850,291,PERP,2020-08
851,291,PTF,2020-09
852,291,SI,2020-12
853,291,SLRS,2021-07
854,291,SOL,2021-06
855,291,VEGA,2021-03
856,291,YLDY,2021-04
857,292,GDT,2021-04
858,292,VEGA,2021-03
859,293,CWAP,2021-05
860,293,GMEE,2021-02
861,294,ETHIX,2019-03
862,295,XRP,2015-05
863,296,NANO,
864,297,ZINC,2016-06
865,298,XGT,2019-11
866,299,ENG,2016-09
867,300,HOPR,2020-07
868,301,INJ,2021-04
869,302,INXT,2020-03
870,303,SPORTS,2021-03
871,304,DDX,2020-07
872,304,IF,2021-06
873,304,LQTY,2021-03
874,304,PERP,2020-08
875,305,RIF,2016-01
876,306,BZZ,2013-01
877,306,MOBI,2017-11
878,306,XRP,2013-05
879,307,CTXC,2016-03
880,308,PAX,2013-11
881,308,PAXG,2013-11
882,308,SKL,2018-10
883,309,SHX,2018-07
884,310,ATN,2018-02
885,311,ICX,2018-10
886,312,CTXC,2012-06
887,313,MATH,2020-12
888,314,BOSON,2021-03
889,315,MOBI,2017-04
890,316,ATOM,2017-03
891,316,HOT,2018-04
892,316,ICX,2017-09
893,316,KRT,2017-12
894,316,LUNA,2017-12
895,316,PAY,2017-06
896,316,SDT,2017-12
897,316,WGR,2017-06
898,316,ZRX,2017-08
899,317,HUM,2018-08
900,318,SPIKE,2018-08
901,319,OXY,2021-02
902,319,SRM,2020-07
903,320,DFX,2021-02
904,321,APPC,2017-12
905,322,MVL,2019-12
906,323,BOND,2020-09
907,324,HBAR,2021-02
908,325,ALI,2018-03
909,325,BOX,2018-06
910,325,CKB,2018-07
911,325,TRIO,2018-02
912,325,UGAS,2018-07
913,326,BLZ,2018-01
914,326,CELR,2018-07
915,326,DGX,2016-03
916,326,ELF,2017-12
917,326,ETHA,2021-03
918,326,ETP,2015-11
919,326,GAS,2014-06
920,326,KNC,2017-09
921,326,KNCL,2017-09
922,326,NEO,2014-06
923,326,OGN,2018-07
924,326,OMG,2017-04
925,326,PAY,2017-04
926,326,PNT,2018-01
927,326,QKC,2018-03
928,327,EVT,2018-08
929,328,GZIL,2018-01
930,328,TT,2018-01
931,328,ZIL,2018-01
932,329,USF,2021-03
933,330,HNS,2018-10
934,331,ALI,2018-03
935,332,MARSH,2021-03
936,333,CBAT,2018-05
937,333,CCOMP,2018-05
938,333,CDAI,2018-05
939,333,COMP,2018-05
940,333,CREP,2018-05
941,333,CUNI,2018-05
942,333,CWBTC,2018-05
943,333,CZRX,2018-05
944,334,LPT,2017-05
945,335,IFT,2015-10
946,336,HNS,2015-03
947,337,STMX,2021-04
948,338,SPIKE,2016-09
949,339,SHIFT,2018-09
950,339,UDT,2018-06
951,340,DMD,2017-03
